,Player,Prediction,Truth
40,Jose Abreu,Not Eligible,Not Eligible
48,Jose Acevedo,Not Eligible,Not Eligible
58,Jose Acosta,Not Eligible,Not Eligible
169,Jose Alberro,Not Eligible,Not Eligible
317,Jose Altuve,Not Eligible,Not Eligible
320,Jose Alvarado,Not Eligible,Not Eligible
331,Jose Alvarez,Not Eligible,Not Eligible
332,Jose Alvarez,Not Eligible,Not Eligible
501,Jose Arcia,Not Eligible,Not Eligible
551,Jose Arredondo,Not Eligible,Not Eligible
568,Jose Ascanio,Not Eligible,Not Eligible
668,Jose Azocar,Not Eligible,Not Eligible
700,Jose Baez,Not Eligible,Not Eligible
963,Jose Barrero,Not Eligible,Not Eligible
983,Jose Barrios,Not Eligible,Not Eligible
1105,Jose Bautista,Not Inducted,Not Inducted
1106,Jose Bautista,Not Eligible,Not Eligible
1413,Jose Berrios,Not Eligible,Not Eligible
2123,Jose Briceno,Not Eligible,Not Eligible
2651,Jose Butto,Not Eligible,Not Eligible
2695,Jose Cabrera,Not Eligible,Not Eligible
2856,Jose Cano,Not Eligible,Not Eligible
2859,Jose Canseco,Not Inducted,Not Inducted
2873,Jose Capellan,Not Eligible,Not Eligible
2891,Jose Cardenal,Not Inducted,Not Inducted
3085,Jose Castillo,Not Eligible,Not Eligible
3086,Jose Castillo,Not Eligible,Not Eligible
3157,Jose Cecena,Not Eligible,Not Eligible
3161,Jose Ceda,Not Eligible,Not Eligible
3385,Jose Cisnero,Not Eligible,Not Eligible
3769,Jose Constanza,Not Eligible,Not Eligible
3773,Jose Contreras,Not Inducted,Not Inducted
4188,Jose Cruz,Not Inducted,Not Inducted
4189,Jose Cruz,Not Inducted,Not Inducted
4202,Jose Cuas,Not Eligible,Not Eligible
4571,Jose De La Torre,Not Eligible,Not Eligible
4573,Jose De Leon,Not Eligible,Not Eligible
4584,Jose De Paula,Not Eligible,Not Eligible
4673,Jose DeLeon,Not Inducted,Not Inducted
4777,Jose Devers,Not Eligible,Not Eligible
4823,Jose Diaz,Not Eligible,Not Eligible
4974,Jose Dominguez,Not Eligible,Not Eligible
5612,Jose Escobar,Not Eligible,Not Eligible
5620,Jose Espada,Not Eligible,Not Eligible
5869,Jose Fernandez,Not Eligible,Not Eligible
5871,Jose Fernandez,Not Eligible,Not Eligible
5870,Jose Fernandez,Not Eligible,Not Eligible
5868,Jose Fernandez,Not Eligible,Not Eligible
5889,Jose Ferrer,Not Eligible,Not Eligible
6106,Jose Flores,Not Eligible,Not Eligible
6609,Jose Garcia,Not Eligible,Not Eligible
7031,Jose Godoy,Not Eligible,Not Eligible
7121,Jose Gonzalez,Not Eligible,Not Eligible
7547,Jose Guillen,Not Inducted,Not Inducted
7607,Jose Guzman,Not Eligible,Not Eligible
8377,Jose Hernandez,Not Inducted,Not Inducted
8378,Jose Hernandez,Not Eligible,Not Eligible
8422,Jose Herrera,Not Eligible,Not Eligible
8421,Jose Herrera,Not Eligible,Not Eligible
8420,Jose Herrera,Not Eligible,Not Eligible
9143,Jose Iglesias,Not Eligible,Not Eligible
9402,Jose Jimenez,Not Eligible,Not Eligible
10823,Jose Leclerc,Not Eligible,Not Eligible
10945,Jose Leon,Not Eligible,Not Eligible
11063,Jose Lima,Not Inducted,Not Inducted
11076,Jose Lind,Not Eligible,Not Eligible
11179,Jose Lobaton,Not Eligible,Not Eligible
11294,Jose Lopez,Not Eligible,Not Eligible
11531,Jose Macias,Not Eligible,Not Eligible
11679,Jose Malave,Not Eligible,Not Eligible
11829,Jose Marmolejos,Not Eligible,Not Eligible
11885,Jose Marte,Not Eligible,Not Eligible
11964,Jose Martinez,Not Eligible,Not Eligible
11962,Jose Martinez,Not Eligible,Not Eligible
11963,Jose Martinez,Not Eligible,Not Eligible
12734,Jose Melendez,Not Eligible,Not Eligible
12759,Jose Mendez,Not Eligible,Not Eligible
12789,Jose Mercedes,Not Eligible,Not Eligible
12826,Jose Mesa,Not Inducted,Not Inducted
12901,Jose Mijares,Not Eligible,Not Eligible
13089,Jose Miranda,Not Eligible,Not Eligible
13160,Jose Molina,Not Inducted,Not Inducted
13300,Jose Morales,Not Eligible,Not Eligible
13301,Jose Morales,Not Inducted,Not Inducted
13322,Jose Morban,Not Eligible,Not Eligible
13341,Jose Moreno,Not Eligible,Not Eligible
13469,Jose Mota,Not Eligible,Not Eligible
13513,Jose Mujica,Not Eligible,Not Eligible
13564,Jose Munoz,Not Eligible,Not Eligible
13949,Jose Nieves,Not Eligible,Not Eligible
14061,Jose Nunez,Not Eligible,Not Eligible
14060,Jose Nunez,Not Eligible,Not Eligible
14162,Jose Offerman,Not Inducted,Not Inducted
14215,Jose Oliva,Not Eligible,Not Eligible
14302,Jose Oquendo,Not Inducted,Not Inducted
14343,Jose Ortega,Not Eligible,Not Eligible
14355,Jose Ortiz,Not Eligible,Not Eligible
14356,Jose Ortiz,Not Eligible,Not Eligible
14400,Jose Osuna,Not Eligible,Not Eligible
14501,Jose Pagan,Not Inducted,Not Inducted
14547,Jose Paniagua,Not Eligible,Not Eligible
14616,Jose Parra,Not Eligible,Not Eligible
14857,Jose Peraza,Not Eligible,Not Eligible
14810,Jose Peña,Not Eligible,Not Eligible
15177,Jose Pirela,Not Eligible,Not Eligible
15506,Jose Quijada,Not Eligible,Not Eligible
15531,Jose Quintana,Not Eligible,Not Eligible
15618,Jose Ramirez,Not Eligible,Not Eligible
15617,Jose Ramirez,Not Eligible,Not Eligible
15918,Jose Reyes,Not Eligible,Not Eligible
15919,Jose Reyes,Not Inducted,Not Inducted
16064,Jose Rijo,Not Inducted,Not Inducted
16307,Jose Rodriguez,Not Eligible,Not Eligible
16308,Jose Rodriguez,Not Eligible,Not Eligible
16309,Jose Rodriguez,Not Eligible,Not Eligible
16393,Jose Rojas,Not Eligible,Not Eligible
16415,Jose Roman,Not Eligible,Not Eligible
16456,Jose Rondon,Not Eligible,Not Eligible
16473,Jose Rosado,Not Eligible,Not Eligible
16627,Jose Ruiz,Not Eligible,Not Eligible
16899,Jose Santiago,Not Eligible,Not Eligible
16897,Jose Santiago,Not Eligible,Not Eligible
16898,Jose Santiago,Not Eligible,Not Eligible
17290,Jose Segura,Not Eligible,Not Eligible
17622,Jose Silva,Not Eligible,Not Eligible
17682,Jose Siri,Not Eligible,Not Eligible
18073,Jose Sosa,Not Eligible,Not Eligible
18594,Jose Suarez,Not Eligible,Not Eligible
18784,Jose Tabata,Not Eligible,Not Eligible
18832,Jose Tartabull,Not Eligible,Not Eligible
19232,Jose Tolentino,Not Eligible,Not Eligible
19291,Jose Torres,Not Eligible,Not Eligible
19367,Jose Trevino,Not Eligible,Not Eligible
19534,Jose Urena,Not Eligible,Not Eligible
19540,Jose Uribe,Not Inducted,Not Inducted
19542,Jose Urquidy,Not Eligible,Not Eligible
19575,Jose Valdez,Not Eligible,Not Eligible
19574,Jose Valdez,Not Eligible,Not Eligible
19583,Jose Valdivielso,Not Eligible,Not Eligible
19589,Jose Valentin,Not Inducted,Not Inducted
19607,Jose Valverde,Not Inducted,Not Inducted
19733,Jose Veras,Not Eligible,Not Eligible
19768,Jose Vidal,Not Eligible,Not Eligible
19769,Jose Vidro,Not Inducted,Not Inducted
19816,Jose Vizcaino,Not Inducted,Not Inducted
21193,Jose Zardon,Not Eligible,Not Eligible
4554,Jose de Jesus,Not Eligible,Not Eligible
10392,Josef Koukalik,Not Eligible,Not Eligible
2550,Joseph Burns,Not Eligible,Not Eligible
5041,Joseph Dorsey,Not Eligible,Not Eligible
5969,Joseph Finneran,Not Eligible,Not Eligible
8410,Joseph Herr,Not Eligible,Not Eligible
13421,Joseph Morrissey,Not Eligible,Not Eligible
13696,Joseph Myers,Not Eligible,Not Eligible
14146,Joseph Odom,Not Eligible,Not Eligible
15521,Joseph Quinn,Not Eligible,Not Eligible
20518,Joseph Wiley,Not Eligible,Not Eligible
405,Josh Anderson,Not Eligible,Not Eligible
839,Josh Banks,Not Eligible,Not Eligible
875,Josh Bard,Not Inducted,Not Inducted
881,Josh Barfield,Not Eligible,Not Eligible
1190,Josh Beckett,Not Inducted,Not Inducted
1264,Josh Bell,Not Eligible,Not Eligible
1265,Josh Bell,Not Eligible,Not Eligible
1520,Josh Billings,Not Eligible,Not Eligible
1521,Josh Billings,Not Inducted,Not Inducted
1818,Josh Booty,Not Eligible,Not Eligible
2456,Josh Bunce,Not Eligible,Not Eligible
2641,Josh Butler,Not Eligible,Not Eligible
3458,Josh Clarke,Not Eligible,Not Eligible
3671,Josh Collmenter,Not Eligible,Not Eligible
4791,Josh Devore,Not Eligible,Not Eligible
4993,Josh Donaldson,Not Eligible,Not Eligible
5394,Josh Edgin,Not Eligible,Not Eligible
5924,Josh Fields,Not Eligible,Not Eligible
5925,Josh Fields,Not Eligible,Not Eligible
6072,Josh Fleming,Not Eligible,Not Eligible
6141,Josh Fogg,Not Eligible,Not Eligible
6753,Josh Geer,Not Eligible,Not Eligible
6852,Josh Gibson,Not Eligible,Not Eligible
7641,Josh Hader,Not Eligible,Not Eligible
7722,Josh Hall,Not Eligible,Not Eligible
7768,Josh Hamilton,Not Eligible,Not Eligible
7798,Josh Hancock,Not Eligible,Not Eligible
7975,Josh Harrison,Not Eligible,Not Eligible
9293,Josh James,Not Eligible,Not Eligible
9489,Josh Johnson,Not Eligible,Not Eligible
9725,Josh Judy,Not Eligible,Not Eligible
9733,Josh Jung,Not Eligible,Not Eligible
10146,Josh Kinney,Not Eligible,Not Eligible
10453,Josh Kroeger,Not Eligible,Not Eligible
10534,Josh Labandeira,Not Eligible,Not Eligible
10985,Josh Lester,Not Eligible,Not Eligible
11080,Josh Lindblom,Not Eligible,Not Eligible
11354,Josh Lowe,Not Eligible,Not Eligible
11381,Josh Lucas,Not Eligible,Not Eligible
11405,Josh Lueke,Not Eligible,Not Eligible
11532,Josh Maciejewski,Not Eligible,Not Eligible
13774,Josh Naylor,Not Eligible,Not Eligible
13880,Josh Newman,Not Eligible,Not Eligible
14380,Josh Osich,Not Eligible,Not Eligible
14431,Josh Outman,Not Eligible,Not Eligible
14521,Josh Palacios,Not Eligible,Not Eligible
14700,Josh Paul,Not Eligible,Not Eligible
14746,Josh Pearce,Not Eligible,Not Eligible
15032,Josh Phegley,Not Eligible,Not Eligible
15041,Josh Phelps,Not Eligible,Not Eligible
15414,Josh Prince,Not Eligible,Not Eligible
15546,Josh Rabe,Not Eligible,Not Eligible
15705,Josh Ravin,Not Eligible,Not Eligible
15747,Josh Reddick,Not Eligible,Not Eligible
15833,Josh Reilly,Not Eligible,Not Eligible
16311,Josh Rodriguez,Not Eligible,Not Eligible
16347,Josh Roenicke,Not Eligible,Not Eligible
16367,Josh Rogers,Not Eligible,Not Eligible
16394,Josh Rojas,Not Eligible,Not Eligible
16641,Josh Rupe,Not Eligible,Not Eligible
16679,Josh Rutledge,Not Eligible,Not Eligible
16928,Josh Satin,Not Eligible,Not Eligible
16971,Josh Sborz,Not Eligible,Not Eligible
17408,Josh Sharpless,Not Eligible,Not Eligible
17880,Josh Smith,Not Eligible,Not Eligible
17881,Josh Smith,Not Eligible,Not Eligible
17882,Josh Smith,Not Eligible,Not Eligible
17953,Josh Smoker,Not Eligible,Not Eligible
18011,Josh Snyder,Not Eligible,Not Eligible
18129,Josh Spence,Not Eligible,Not Eligible
18290,Josh Staumont,Not Eligible,Not Eligible
18402,Josh Stewart,Not Eligible,Not Eligible
18429,Josh Stinson,Not Eligible,Not Eligible
18766,Josh Swindell,Not Eligible,Not Eligible
18907,Josh Taylor,Not Eligible,Not Eligible
19033,Josh Thole,Not Eligible,Not Eligible
19250,Josh Tomlin,Not Eligible,Not Eligible
19309,Josh Towers,Not Eligible,Not Eligible
19646,Josh VanMeter,Not Eligible,Not Eligible
19814,Josh Vitters,Not Eligible,Not Eligible
19946,Josh Walker,Not Eligible,Not Eligible
19977,Josh Wall,Not Eligible,Not Eligible
20456,Josh Whitesell,Not Eligible,Not Eligible
20649,Josh Willingham,Not Inducted,Not Inducted
20720,Josh Wilson,Not Eligible,Not Eligible
20763,Josh Winckowski,Not Eligible,Not Eligible
20764,Josh Winder,Not Eligible,Not Eligible
21208,Josh Zeid,Not Eligible,Not Eligible
6422,Joshua Fuentes,Not Eligible,Not Eligible
7320,Josiah Gray,Not Eligible,Not Eligible
11783,Josias Manzanillo,Not Inducted,Not Inducted
15168,Josmil Pinto,Not Eligible,Not Eligible
2678,José Caballero,Not Eligible,Not Eligible
5862,José Fermín,Not Eligible,Not Eligible
11295,José Lopez,Not Eligible,Not Eligible
16310,José Rodriguez,Not Eligible,Not Eligible
18062,José Soriano,Not Eligible,Not Eligible
18960,José Tena,Not Eligible,Not Eligible
7023,Jot Goar,Not Eligible,Not Eligible
12701,Jouett Meekin,Not Inducted,Not Inducted
13317,Jovani Moran,Not Eligible,Not Eligible
41,Juan Abreu,Not Eligible,Not Eligible
49,Juan Acevedo,Not Eligible,Not Eligible
139,Juan Agosto,Not Inducted,Not Inducted
333,Juan Alvarez,Not Eligible,Not Eligible
1266,Juan Bell,Not Eligible,Not Eligible
1315,Juan Beniquez,Not Inducted,Not Inducted
1358,Juan Berenguer,Not Inducted,Not Inducted
1404,Juan Bernhardt,Not Eligible,Not Eligible
1786,Juan Bonilla,Not Eligible,Not Eligible
2167,Juan Brito,Not Eligible,Not Eligible
14439,Juan Carlos Oviedo,Not Eligible,Not Eligible
3088,Juan Castillo,Not Eligible,Not Eligible
3087,Juan Castillo,Not Eligible,Not Eligible
3118,Juan Castro,Not Inducted,Not Inducted
3170,Juan Centeno,Not Eligible,Not Eligible
3177,Juan Cerros,Not Eligible,Not Eligible
4190,Juan Cruz,Not Inducted,Not Inducted
4682,Juan Delis,Not Eligible,Not Eligible
4825,Juan Diaz,Not Eligible,Not Eligible
4824,Juan Diaz,Not Eligible,Not Eligible
4975,Juan Dominguez,Not Eligible,Not Eligible
5445,Juan Eichelberger,Not Eligible,Not Eligible
5536,Juan Encarnacion,Not Inducted,Not Inducted
5625,Juan Espino,Not Eligible,Not Eligible
6279,Juan Francisco,Not Eligible,Not Eligible
7122,Juan Gonzalez,Not Inducted,Not Inducted
7300,Juan Graterol,Not Eligible,Not Eligible
7529,Juan Guerrero,Not Eligible,Not Eligible
7608,Juan Guzman,Not Inducted,Not Inducted
9275,Juan Jaime,Not Eligible,Not Eligible
9403,Juan Jimenez,Not Eligible,Not Eligible
10566,Juan Lagares,Not Eligible,Not Eligible
10685,Juan Lara,Not Eligible,Not Eligible
11807,Juan Marichal,Inducted,Inducted
12034,Juan Mateo,Not Eligible,Not Eligible
12743,Juan Melo,Not Eligible,Not Eligible
13064,Juan Minaya,Not Eligible,Not Eligible
13090,Juan Miranda,Not Eligible,Not Eligible
13342,Juan Moreno,Not Eligible,Not Eligible
13375,Juan Morillo,Not Eligible,Not Eligible
13893,Juan Nicasio,Not Eligible,Not Eligible
13950,Juan Nieves,Not Eligible,Not Eligible
14492,Juan Padilla,Not Eligible,Not Eligible
14889,Juan Perez,Not Eligible,Not Eligible
14888,Juan Perez,Not Eligible,Not Eligible
14811,Juan Peña,Not Eligible,Not Eligible
15126,Juan Pierre,Not Inducted,Not Inducted
15196,Juan Pizarro,Not Inducted,Not Inducted
16075,Juan Rincon,Not Inducted,Not Inducted
16086,Juan Rios,Not Eligible,Not Eligible
16123,Juan Rivera,Not Inducted,Not Inducted
16757,Juan Salas,Not Eligible,Not Eligible
16798,Juan Samuel,Not Inducted,Not Inducted
18074,Juan Sosa,Not Eligible,Not Eligible
18083,Juan Soto,Not Eligible,Not Eligible
19015,Juan Then,Not Eligible,Not Eligible
19541,Juan Uribe,Not Inducted,Not Inducted
21075,Juan Yepez,Not Eligible,Not Eligible
1526,Jud Birchall,Not Eligible,Not Eligible
4328,Jud Daley,Not Eligible,Not Eligible
12558,Jud McLaughlin,Not Eligible,Not Eligible
17883,Jud Smith,Not Eligible,Not Eligible
20721,Jud Wilson,Not Eligible,Not Eligible
6420,Judge Fuchs,Not Eligible,Not Eligible
12326,Judge McCredie,Not Eligible,Not Eligible
13716,Judge Nagle,Not Eligible,Not Eligible
9490,Judy Johnson,Not Eligible,Not Eligible
19020,Jug Thesenga,Not Eligible,Not Eligible
11697,Jule Mallonee,Not Eligible,Not Eligible
10521,Jules Kustus,Not Eligible,Not Eligible
142,Julian Aguiar,Not Eligible,Not Eligible
5872,Julian Fernandez,Not Eligible,Not Eligible
9329,Julian Javier,Not Inducted,Not Inducted
12819,Julian Merryweather,Not Eligible,Not Eligible
18862,Julian Tavarez,Not Inducted,Not Inducted
6336,Julie Freeman,Not Eligible,Not Eligible
20307,Julie Wera,Not Eligible,Not Eligible
1199,Julio Becquer,Not Eligible,Not Eligible
1776,Julio Bonetti,Not Eligible,Not Eligible
1820,Julio Borbon,Not Eligible,Not Eligible
4191,Julio Cruz,Not Inducted,Not Inducted
4585,Julio De Paula,Not Eligible,Not Eligible
6282,Julio Franco,Inducted,Not Inducted
7123,Julio Gonzalez,Not Eligible,Not Eligible
7124,Julio Gonzalez,Not Eligible,Not Eligible
7218,Julio Gotay,Not Inducted,Not Inducted
11409,Julio Lugo,Not Inducted,Not Inducted
11523,Julio Machado,Not Eligible,Not Eligible
11761,Julio Manon,Not Eligible,Not Eligible
12035,Julio Mateo,Not Eligible,Not Eligible
13343,Julio Moreno,Not Eligible,Not Eligible
13455,Julio Mosquera,Not Eligible,Not Eligible
13767,Julio Navarro,Not Eligible,Not Eligible
14779,Julio Peguero,Not Eligible,Not Eligible
15619,Julio Ramirez,Not Eligible,Not Eligible
16312,Julio Rodriguez,Not Eligible,Not Eligible
16889,Julio Santana,Not Eligible,Not Eligible
18034,Julio Solano,Not Eligible,Not Eligible
18941,Julio Teheran,Not Eligible,Not Eligible
19536,Julio Urias,Not Eligible,Not Eligible
19576,Julio Valdez,Not Eligible,Not Eligible
19601,Julio Valera,Not Eligible,Not Eligible
21260,Julio Zuleta,Not Eligible,Not Eligible
12063,Julius Matos,Not Eligible,Not Eligible
20646,Julius Willigrod,Not Eligible,Not Eligible
2284,Jumbo Brown,Not Inducted,Not Inducted
4493,Jumbo Davis,Not Eligible,Not Eligible
4826,Jumbo Diaz,Not Eligible,Not Eligible
5489,Jumbo Elliott,Not Inducted,Not Inducted
8008,Jumbo Harting,Not Eligible,Not Eligible
10727,Jumbo Latham,Not Eligible,Not Eligible
12443,Jumbo McGinnis,Not Eligible,Not Eligible
17116,Jumbo Schoeneck,Not Eligible,Not Eligible
7365,June Greene,Not Eligible,Not Eligible
1778,Jung Bong,Not Eligible,Not Eligible
9792,Jung Ho Kang,Not Eligible,Not Eligible
10851,Jung Hoo Lee,Not Eligible,Not Eligible
18930,Junichi Tazawa,Not Eligible,Not Eligible
923,Junie Barnes,Not Eligible,Not Eligible
15500,Juniel Querecuto,Not Eligible,Not Eligible
2782,Junior Caminero,Not Eligible,Not Eligible
5836,Junior Felix,Not Eligible,Not Eligible
5873,Junior Fernandez,Not Eligible,Not Eligible
7525,Junior Guerra,Not Eligible,Not Eligible
8407,Junior Herndon,Not Eligible,Not Eligible
9997,Junior Kennedy,Not Eligible,Not Eligible
10580,Junior Lake,Not Eligible,Not Eligible
13272,Junior Moore,Not Eligible,Not Eligible
13979,Junior Noboa,Not Eligible,Not Eligible
14357,Junior Ortiz,Not Inducted,Not Inducted
18164,Junior Spivey,Not Eligible,Not Eligible
20021,Junior Walsh,Not Eligible,Not Eligible
20945,Junior Wooten,Not Eligible,Not Eligible
15426,Jurickson Profar,Not Eligible,Not Eligible
406,Justin Anderson,Not Eligible,Not Eligible
595,Justin Atchley,Not Eligible,Not Eligible
1087,Justin Baughman,Not Eligible,Not Eligible
1362,Justin Berg,Not Eligible,Not Eligible
1881,Justin Bour,Not Eligible,Not Eligible
2352,Justin Bruihl,Not Eligible,Not Eligible
2366,Justin Brunette,Not Eligible,Not Eligible
3342,Justin Christian,Not Eligible,Not Eligible
4547,Justin De Fratus,Not Eligible,Not Eligible
5176,Justin Duchscherer,Not Eligible,Not Eligible
5251,Justin Dunn,Not Eligible,Not Eligible
6032,Justin Fitzgerald,Not Eligible,Not Eligible
6206,Justin Foscue,Not Eligible,Not Eligible
6337,Justin Freeman,Not Eligible,Not Eligible
6702,Justin Garza,Not Eligible,Not Eligible
6807,Justin Germano,Not Eligible,Not Eligible
7453,Justin Grimm,Not Eligible,Not Eligible
7696,Justin Haley,Not Eligible,Not Eligible
7787,Justin Hampson,Not Eligible,Not Eligible
7799,Justin Hancock,Not Eligible,Not Eligible
8961,Justin Huber,Not Eligible,Not Eligible
9029,Justin Huisman,Not Eligible,Not Eligible
9294,Justin James,Not Eligible,Not Eligible
9839,Justin Kaye,Not Eligible,Not Eligible
10279,Justin Knoedler,Not Eligible,Not Eligible
10769,Justin Lawrence,Not Eligible,Not Eligible
10891,Justin Lehr,Not Eligible,Not Eligible
10960,Justin Leone,Not Eligible,Not Eligible
11823,Justin Marks,Not Eligible,Not Eligible
11965,Justin Martinez,Not Eligible,Not Eligible
12022,Justin Masterson,Not Eligible,Not Eligible
12128,Justin Maxwell,Not Eligible,Not Eligible
12978,Justin Miller,Not Eligible,Not Eligible
12979,Justin Miller,Not Eligible,Not Eligible
13382,Justin Morneau,Not Inducted,Not Inducted
13922,Justin Nicolino,Not Eligible,Not Eligible
16621,Justin Ruggiano,Not Eligible,Not Eligible
17306,Justin Sellers,Not Eligible,Not Eligible
17373,Justin Shafer,Not Eligible,Not Eligible
17736,Justin Slaten,Not Eligible,Not Eligible
17952,Justin Smoak,Not Eligible,Not Eligible
18124,Justin Speier,Not Inducted,Not Inducted
18303,Justin Steele,Not Eligible,Not Eligible
18320,Justin Stein,Not Eligible,Not Eligible
18372,Justin Sterner,Not Eligible,Not Eligible
19061,Justin Thomas,Not Eligible,Not Eligible
19108,Justin Thompson,Not Eligible,Not Eligible
19264,Justin Topa,Not Eligible,Not Eligible
19448,Justin Turner,Not Eligible,Not Eligible
19526,Justin Upton,Not Eligible,Not Eligible
19749,Justin Verlander,Not Eligible,Not Eligible
20169,Justin Wayne,Not Eligible,Not Eligible
20602,Justin Williams,Not Eligible,Not Eligible
20722,Justin Wilson,Not Eligible,Not Eligible
21013,Justin Wrobleski,Not Eligible,Not Eligible
17466,Justus Sheffield,Not Eligible,Not Eligible
11704,Justyn-Henry Malloy,Not Eligible,Not Eligible
19242,Ka'ai Tom,Not Eligible,Not Eligible
3906,Kai Correa,Not Eligible,Not Eligible
18963,Kai-Wei Teng,Not Eligible,Not Eligible
20524,Kaiser Wilhelm,Not Eligible,Not Eligible
4365,Kal Daniels,Not Eligible,Not Eligible
17285,Kal Segrist,Not Eligible,Not Eligible
3978,Kaleb Cowart,Not Eligible,Not Eligible
14339,Kaleb Ort,Not Eligible,Not Eligible
12887,Kam Mickolio,Not Eligible,Not Eligible
11203,Kameron Loe,Not Eligible,Not Eligible
13094,Kameron Misner,Not Eligible,Not Eligible
4494,Kane Davis,Not Eligible,Not Eligible
19002,Kanekoa Texeira,Not Eligible,Not Eligible
6610,Karim Garcia,Not Inducted,Not Inducted
94,Karl Adams,Not Eligible,Not Eligible
1443,Karl Best,Not Eligible,Not Eligible
5145,Karl Drews,Not Eligible,Not Eligible
9828,Karl Kauffmann,Not Eligible,Not Eligible
10340,Karl Kolseth,Not Eligible,Not Eligible
10492,Karl Kuehl,Not Eligible,Not Eligible
12716,Karl Meister,Not Eligible,Not Eligible
14255,Karl Olson,Not Eligible,Not Eligible
14509,Karl Pagel,Not Eligible,Not Eligible
15961,Karl Rhodes,Not Eligible,Not Eligible
17113,Karl Schnell,Not Eligible,Not Eligible
18170,Karl Spooner,Not Eligible,Not Eligible
18723,Karl Swanson,Not Eligible,Not Eligible
6471,Kason Gabbard,Not Eligible,Not Eligible
9882,Katsy Keifer,Not Eligible,Not Eligible
16925,Kazuhiro Sasaki,Not Eligible,Not Eligible
9192,Kazuhisa Ishii,Not Eligible,Not Eligible
11671,Kazuhisa Makita,Not Eligible,Not Eligible
18792,Kazuhito Tadano,Not Eligible,Not Eligible
6432,Kazuo Fukumori,Not Eligible,Not Eligible
12070,Kazuo Matsui,Not Eligible,Not Eligible
8114,Ke'Bryan Hayes,Not Eligible,Not Eligible
20878,Kean Wong,Not Eligible,Not Eligible
20790,Keaton Winn,Not Eligible,Not Eligible
3135,Keefe Cato,Not Eligible,Not Eligible
163,Keegan Akin,Not Eligible,Not Eligible
19109,Keegan Thompson,Not Eligible,Not Eligible
9142,Kei Igawa,Not Eligible,Not Eligible
16628,Keibert Ruiz,Not Eligible,Not Eligible
13209,Keider Montero,Not Eligible,Not Eligible
21036,Keiichi Yabu,Not Eligible,Not Eligible
597,Keith Atherton,Not Eligible,Not Eligible
2285,Keith Brown,Not Eligible,Not Eligible
2642,Keith Butler,Not Eligible,Not Eligible
3702,Keith Comstock,Not Eligible,Not Eligible
4066,Keith Creel,Not Eligible,Not Eligible
5164,Keith Drumright,Not Eligible,Not Eligible
6234,Keith Foulke,Not Inducted,Not Inducted
6573,Keith Garagozzo,Not Eligible,Not Eligible
6955,Keith Ginter,Not Eligible,Not Eligible
6984,Keith Glauber,Not Eligible,Not Eligible
7181,Keith Gordon,Not Eligible,Not Eligible
8379,Keith Hernandez,Not Inducted,Not Inducted
8460,Keith Hessler,Not Eligible,Not Eligible
9011,Keith Hughes,Not Eligible,Not Eligible
9420,Keith Johns,Not Eligible,Not Eligible
9491,Keith Johnson,Not Eligible,Not Eligible
10044,Keith Kessinger,Not Eligible,Not Eligible
10615,Keith Lampard,Not Eligible,Not Eligible
11193,Keith Lockhart,Not Inducted,Not Inducted
11453,Keith Luuloa,Not Eligible,Not Eligible
11565,Keith MacWhorter,Not Eligible,Not Eligible
11872,Keith Marshall,Not Eligible,Not Eligible
12370,Keith McDonald,Not Eligible,Not Eligible
12981,Keith Miller,Not Eligible,Not Eligible
12980,Keith Miller,Not Eligible,Not Eligible
13111,Keith Mitchell,Not Eligible,Not Eligible
13333,Keith Moreland,Not Inducted,Not Inducted
14381,Keith Osik,Not Inducted,Not Inducted
15783,Keith Reed,Not Eligible,Not Eligible
17486,Keith Shepherd,Not Eligible,Not Eligible
17884,Keith Smith,Not Eligible,Not Eligible
17885,Keith Smith,Not Eligible,Not Eligible
20603,Keith Williams,Not Eligible,Not Eligible
19252,Kelby Tomlinson,Not Eligible,Not Eligible
5084,Kelly Downs,Not Eligible,Not Eligible
5124,Kelly Dransfeldt,Not Eligible,Not Eligible
7504,Kelly Gruber,Not Inducted,Not Inducted
8158,Kelly Heath,Not Eligible,Not Eligible
9492,Kelly Johnson,Not Inducted,Not Inducted
11747,Kelly Mann,Not Eligible,Not Eligible
14573,Kelly Paris,Not Eligible,Not Eligible
17560,Kelly Shoppach,Not Eligible,Not Eligible
18427,Kelly Stinnett,Not Inducted,Not Inducted
21017,Kelly Wunsch,Not Eligible,Not Eligible
5613,Kelvim Escobar,Not Inducted,Not Inducted
2704,Kelvin Caceres,Not Eligible,Not Eligible
3241,Kelvin Chapman,Not Eligible,Not Eligible
7592,Kelvin Gutierrez,Not Eligible,Not Eligible
8423,Kelvin Herrera,Not Inducted,Not Inducted
9404,Kelvin Jimenez,Not Eligible,Not Eligible
11886,Kelvin Marte,Not Eligible,Not Eligible
13273,Kelvin Moore,Not Eligible,Not Eligible
19299,Kelvin Torve,Not Eligible,Not Eligible
20485,Kemp Wicker,Not Eligible,Not Eligible
572,Ken Ash,Not Eligible,Not Eligible
584,Ken Aspromonte,Not Eligible,Not Eligible
1424,Ken Berry,Not Inducted,Not Inducted
1863,Ken Boswell,Not Inducted,Not Inducted
1947,Ken Boyer,Inducted,Inducted
2106,Ken Brett,Not Inducted,Not Inducted
2199,Ken Brondell,Not Eligible,Not Eligible
2518,Ken Burkhart,Not Eligible,Not Eligible
